CATEGORY,SUB-CATEGORY,PRIORITY,KEY EVALUATION QUESTIONS,SCORING GUIDE
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1a.MATERIAL SOURCING,HIGH,"Is the material supplier for the Powerhouse Museum based in Sydney, or within NSW, or within Australia or are the materials sourced from overseas? If sourced abroad, please specify the country of origin and the approximate distance (in kilometers) from Sydney, Australia.","4 = Local
3 = Regional
2 = National
1 = International"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1b. CERTIFICATION,HIGH,Are there any third-party certifications that verify the sustainability of the sourcing practices?,"4=GECA (Good Environmental Choice Australia)
3=Cradle to Cradle (C2C) Certification
2=PEFC (Programme for the Endorsement of Forest Certification)
1=FSC (Forest Stewardship Council) or other certifications"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1c.FIRST NATIONS COMMUNITIES,HIGH,"Does the supplier demonstrate consideration for Aboriginal and Torres Strait Islander communities through acknowledgment of Country, consultation, or collaborative practices associated with material sourcing or cultural knowledge?
Please provide evidence such as partnership statements, policy links, or project examples.
","4=Active Collaboration
3=Documented Consultation
2=General Commitment
1=Minimal Reference"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,MEDIUM,Does the supplier share any information about their recycling process?,"3=Yes - detailed
2=Partial
1=No"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,MEDIUM,"What proportion of the materials used are recycled, reclaimed, or reused?","4=>75%
3=50-75%
2=25-50%
1=<25%"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,MEDIUM,"How does the supplier manage or repurpose non-recyclable materials (e.g., reuse, upcycling, partner recycling programs, or landfill disposal)?","4=Reused
3=Upcycled
2=Partner recycler
1=Landfill"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,LOW,Does the supplier share any data or reports that verify their recycling performance or outcomes?,"3=Regular
2=Occasional
1=None"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,LOW,"Does the supplier work with certified recycling partners or facilities?
","3=Yes - certified
2=Yes - Non-certified
1=No"
"1.MATERIAL SOURCING 
(Transparency, traceability, and input responsibility)",1d. RECYCLING PROCESS,LOW,"
Does the supplier provide any data or reports verifying their recycling efficiency or outcomes?","3=Regular
2=Occasional
1=None"
"2. OPERATIONAL PRACTICES & RESOURCE EFFIENCY 
(Daily practices, resource use, waste, and risk management)","2a.WATER,ENERGY, CARBON FOOTPRINT",HIGH,How does the supplier reduce energy and water consumption in their operations?,"4=Comprehensive program with measurable reduction targets and data
3=Some reduction measures mentioned but no data
2=General statement only
1=No evidence of reduction practices"
"2. OPERATIONAL PRACTICES & RESOURCE EFFIENCY 
(Daily practices, resource use, waste, and risk management)","2a.WATER,ENERGY, CARBON FOOTPRINT",HIGH,What proportion of energy used comes from renewable sources?,"4=>75%
3=50-75%
2=25-50%
1=<25%"
"2. OPERATIONAL PRACTICES & RESOURCE EFFIENCY 
(Daily practices, resource use, waste, and risk management)","2a.WATER,ENERGY, CARBON FOOTPRINT",HIGH,Do they track or offset their carbon emissions?,"4=Publicly reports and offsets
3=Tracks but does not offset
2=Mentions carbon efforts without data
1=No tracking or offset"
"2. OPERATIONAL PRACTICES & RESOURCE EFFIENCY 
(Daily practices, resource use, waste, and risk management)","2a.WATER,ENERGY, CARBON FOOTPRINT",MEDIUM,Are water-recycling or closed-loop systems used in production?,"4=Fully implemented closed-loop system
3=Partial water recycling
2=Plans or pilot stage
1=No system identified"
"2. OPERATIONAL PRACTICES & RESOURCE EFFIENCY 
(Daily practices, resource use, waste, and risk management)","2a.WATER,ENERGY, CARBON FOOTPRINT",MEDIUM,What actions have been taken to minimise pollution or chemical waste?,"4=Documented pollution-prevention program
3=Some chemical reduction initiatives
2=General environmental policy only
1=No action"
